t,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,gps_t,gps_px,gps_py,gps_pz,gps_vx,gps_vy,gps_vz,gps_valid,baro_alt,baro_valid
0.095000,0.050132,-0.152065,-0.025404,5.271905,0.788474,-11.028682,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.097500,-0.085144,0.137608,-0.014798,2.226792,3.176746,-11.850009,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.100000,0.048873,-0.152551,0.068098,-0.292347,-1.963307,-10.806447,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,62.8543,1
0.102500,0.207144,-0.004686,-0.026355,1.201018,1.032181,-9.316317,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.105000,0.077570,-0.011952,-0.060951,0.533004,-1.611974,-8.108700,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.107500,0.128430,-0.021237,0.040671,0.810390,-2.990483,-7.236922,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.110000,0.164722,-0.118234,0.029227,-1.922795,-1.755587,-9.437898,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.112500,-0.054125,0.131432,-0.058449,0.913648,-3.630714,-8.877771,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.115000,0.048255,-0.076667,-0.123946,-1.638175,0.389341,-12.755926,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.117500,-0.049716,-0.037169,0.140576,0.968631,-1.320653,-8.966177,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.120000,-0.107720,0.061927,0.056779,-0.189527,-0.653869,-10.288781,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,63.2860,1
0.122500,-0.013778,0.170761,-0.106050,0.760187,-0.862197,-6.213716,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.125000,-0.030589,-0.004183,-0.166249,-2.952475,-0.116092,-11.714293,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.127500,0.038564,0.242241,0.046329,-0.996941,-2.714430,-8.237763,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.130000,0.153471,-0.041905,-0.038159,-0.439850,-1.038663,-8.327906,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.132500,-0.016474,0.115273,-0.020178,-4.210310,-2.007940,-11.740017,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
