t,sensor,innov_0,innov_1,innov_2,innov_3,innov_4,innov_5,nis,dim,accepted
0.522500,BARO,0.38709193,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.501821,1,1
0.542500,MAG,-0.18062392,0.25707034,1.10244091,0.00000000,0.00000000,0.00000000,1.916993,3,1
0.542500,BARO,0.33082735,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.376346,1,1
0.562500,MAG,0.13644761,-0.76329257,0.18923561,0.00000000,0.00000000,0.00000000,0.861455,3,1
0.562500,BARO,0.35602643,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.444421,1,1
0.582500,MAG,2.10963112,0.49269867,0.34936932,0.00000000,0.00000000,0.00000000,6.929221,3,1
0.582500,BARO,0.90142064,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.891726,1,1
0.602500,GPS,0.97718771,-0.05266724,-0.43316058,0.14073168,0.28061797,0.14186998,1.259904,6,1
0.602500,MAG,1.38833881,-0.77578562,1.17181097,0.00000000,0.00000000,0.00000000,5.814387,3,1
0.602500,BARO,0.02617597,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.002293,1,1
0.622500,MAG,0.32291833,-0.06680006,2.06217906,0.00000000,0.00000000,0.00000000,6.697036,3,1
0.622500,BARO,-0.69292046,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.649983,1,1
0.642500,MAG,0.66239591,0.63106267,1.23887052,0.00000000,0.00000000,0.00000000,3.640254,3,1
0.642500,BARO,-0.03528318,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.004363,1,1
0.662500,MAG,-0.04206024,-0.16744820,0.90106821,0.00000000,0.00000000,0.00000000,1.267209,3,1
0.662500,BARO,0.12659898,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.057013,1,1
0.682500,MAG,0.53729814,1.42246020,1.16186443,0.00000000,0.00000000,0.00000000,5.402533,3,1
0.682500,BARO,0.05309913,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.010149,1,1
